Unnamed: 0,Rating,Title,Pro,Con,Job Title,Status,Region,Date
346,10,ST stuff,28 days mc leave Singtel corporate plan discount,Everything From management to workload If Ure a fresh grad Beware not to trust any seniors they will give you lots of workload And tell you I wrote ad hoc on JD,Senior Project Manager,Current Employee,nan,Mar 3 2022
347,30,stable job,NAME,commit hours for OJT little to no staff training must be willing to self teach,Software Engineer,Current Employee,Singapore,Feb 14 2022
348,40,Job Mismatch,is monday to friday job,upgrading time a little longer,Anonymous Employee,Current Employee,nan,Nov 16 2021
349,20,Good stepping stone,Good starting Pay Decent PTO Cheap food from canteen,Poor project management Somehow expected to serve client 247 Management do not seem to care about staff moral,Software Engineer,Current Employee,Singapore,Jan 2 2022
350,30,Management that is weak in tech,Good place to learn things,Too much system and red tapes,Mechanical Engineer,Former Employee,Singapore,Jan 14 2022
351,30,Good working environment,Good place to do and learn what you want since managements exact direction is weak but of course you have to be selfmotivated for this to be a pros point Note that this depends on which business unit you get into From what I know most are pretty laidback but not mine which Im grateful for,Doesnt have retrenchment and having a management that is weak in tech means they dont know the difficulty of the tasks being done so theres not really a meritocracy which is kind of sad,Software Engineer,Current Employee,nan,Aug 9 2021
352,40,Good Company,Bosses are open minded Less controlled,Working under pressure Many last min works,Designer,Current Employee,Singapore,Jan 7 2022
353,40,Zero progression and growth,Good career prospects in general,No social life for some projects,Customer Service Team Leader,Former Employee,Ang Mo Kio New Town,Jan 12 2022
354,20,Working at st,Good bosses and culture Does not micromanage,See review headline for the cons,Senior Software Engineer,Current Employee,nan,Jan 5 2022
355,40,Implement,Stable people rarely let go,Too corporate bit boring sometimes,Design Engineer,Current Employee,Paya Lebar,Jan 11 2022
356,50,Software Engineer ST Engineering,Design and implement build house,Work jab hard work make hard working,Manager Project Design and Implementation,Current Employee,Jeddah,Jan 9 2022
357,30,Culture,Good work life balance friendly colleagues,Hardly any opportunities to upgrade skillset,Software Engineer,Current Employee,Singapore,Jan 5 2022
358,20,Decent job profile with high work pressure,Better Base Salary compared to other engineering companies,Culture is way back Newly employed staff are pretty much left to their own resources,Mechanical Engineer,Current Employee,Singapore,Dec 9 2021
359,30,Job review,Medical and insurance benefits Company Shares Scheme,Low compensation Bonus rating mechanism Work culture,Senior Engineer,Former Employee,nan,Dec 26 2021
360,30,Its okay,Can learn alot of things,Slow prospect and alot of workload,Repair Engineer,Current Employee,Seletar,Jan 10 2022
361,30,Work Environment,Stability even during pandemic giving strong sense of job security,Culture isnt good most staffs are waiting to retire giving their bare minimum Not a desired place for youngsters Pay relatively low compared to outside,Senior Engineer,Former Employee,Singapore,Nov 17 2021
362,30,Average company,stable environment good flearning environment for fresh graduates,lots of procedures to follow,Engineer,Former Employee,nan,Jan 6 2022
363,30,BigData Consultant,Good work life balance Easy to work,Compensation scheme is not the best,Engineer,Current Employee,Singapore,Jan 7 2022
364,40,Pay not competitive,Very good benefits and good work culture,Too many layers of reporting,BigData Consultant,Former Employee,Singapore,Jan 5 2022
365,30,Job Delegation,Big and nice office environment,Pay not competitive low annual increment,Executive,Former Employee,nan,Jan 6 2022
366,30,Support in ST Engineering,Good working environment stable job,Not related job scope tp assigned designation,Logistics Coordinator,Former Employee,Singapore,Jan 6 2022
367,40,my strengths are I am a good learner innovative I have a positive attitude and committed to my work,There is peer support in new areas that I am unsure of Good mentor support,There was not much downside in terms of familycentred and career advancement,Assistant Principal Engineer,Former Employee,Singapore,Dec 6 2021
368,50,Operations Finance Executive,my strengths are I am a good learner innovative I have a positive attitude and committed to my work,My weakness is procrastination and I am a bit selfish too,Civil Engineer,Current Employee,Indore,Nov 1 2021
369,30,Poor long term prospect,Work life balance is available,Slow processes and lots of red tape,Anonymous Employee,Current Employee,nan,Jan 1 2022
370,20,Good company,1 Depending on department or project schedule OT is bearable 2 Working level peers are nice to work with,1 Always changing management 2 Job scope is not fixed 3 Bosses lack vision 4 No camera phone 5 Technology laggards for an engineering company 6 No wifi and internet restricted If your work require stack overflow and googling for code you need to use your own mobile data for work 7 Sometimes more politics than work 8 Lack focus on employee growth,Senior Engineer,Former Employee,Jurong West New Town,Aug 25 2021
371,40,Good,Stable company with good baseloads from the Singapore Government which is great during bad times like Covid Some of its businesses are in niche areas reaping good margins,Too much redtape with too many systems and processes to follow Bogged down by processes with low propensity for risk taking,Corporate,Former Employee,nan,Aug 10 2021
372,50,Good,It’s a good company yay,Not giving enough salary for me,Software Engineer,Former Employee,Singapore,Oct 10 2021
373,50,No career progression opportunities,Very Good and fun workplace,Maybe Nth to say actually,Marketing,Current Employee,Singapore,Oct 21 2021
374,20,Software,Stable job and fixed hours,No recognition of skills unfulfilled promises for career opportunities,Software Engineer,Current Employee,Singapore,Jan 26 2022
375,40,hr recruiter,Good nice and good job,Nothing no problem 5days work,Embedded Software Engineer,Former Employee,Chennai,Oct 22 2021
376,30,Working Environment,not a lot of workload,low salary compared to market,HRExecutive,Current Employee,Ang Mo Kio New Town,Feb 2 2022
377,30,Working,Friendly and helpful colleagues,Some higher management will try to snatch your workload and complain that you are not doing your job,Anonymous Employee,Former Employee,nan,Jan 10 2022
378,30,Safe ground but slow progress,interesting job scopes able to move around across the department to develop knowledge and skills,sometimes there are long working hours to endure,Engineer,Current Employee,Singapore,Jan 11 2022
379,40,Average Company need to work on work culture,Reasonable benefits eg medical and shares,Restrictive and safe not bold enough to invest and venture,Anonymous Employee,Current Employee,nan,Sep 30 2021
380,30,Average salary,Market Rate Salary Very laid back environment People are open to talk,No mentorship Management needs to be work on Cannot advance in career,Engineer,Former Employee,Ang Mo Kio New Town,Aug 5 2021
381,30,Review,stable job can work until retired,salary is not high and work very hard,Senior Software Engineer,Current Employee,Singapore,Dec 19 2021
382,30,Good learning environment,The food at the canteen was cheap and good,Far away Job description vague Covid time temperature taking was a bit annoying,Executive,Former Employee,nan,Dec 9 2021
383,40,Good,A lot of area to learn,Too defence orientated Always look at any ranks,Senior Manager Project Leader,Current Employee,Singapore,Dec 14 2021
384,30,Engineering,Innovative well established and acknowledged in space industry,Vastly dispersed around the world,Senior Research Engineer I,Current Employee,SintNiklaas,Dec 10 2021
385,50,Good company to work in,Very good company response salary,Nice working with you good,QAQC MECHANICAL ENGINEER,Current Employee,Singapore,Dec 20 2021
386,50,Rigid Structure Redundant Processes,Great for fresh grad to enter as it is reputable in singapore,Progression is too slow as a lot are older guys working inside,Mechanical Engineer,Former Employee,Singapore,Nov 17 2021
387,20,Good intentions held back by processes,Very focused on workplace safetyhealth Fixed working hours eg Bosses embrace the 8530pm hours faithfully Perfect for average caliber person looking for job stability,Poor remunerationsalary package Career progression by enlarged is based on length of service rather than contributionmerit As a result plenty of deadwood employees Company culture does not encourage individuals to seek higher performance,Executive,Current Employee,nan,Sep 19 2021
388,40,self directed,Lots of opportunity to do engineering work that has impact Pay is somewhat competitive Good benefits,Lots of processes that make simple things really painful Some of your colleagues will just not care and getting them to get things done is a pain Team is always lean and turnover rate is high,Data Engineer,Current Employee,Singapore,Sep 3 2021
389,40,Career,great place to explore and provide,no clear direction on the heading path,Exexutive,Current Employee,nan,Dec 11 2021
390,20,General ok company,Learn a lot during working Overtime will be controlled at times Shift allowance and other harzdous claims are normal Might be going to other other places if in need of manpower,Slow career progression Annual increment is ridiculous Benefits are poor They want you to work 6days a week or 13 days straight with overtime if possible Too fast paced at times and rushing of work Basic salary of technician is too low,Technician,Current Employee,Changi Village,Aug 5 2021
391,40,No Teamwork,Stable job and low retrenchment,No career advancement prospect for individual,Senor Engineer,Current Employee,Singapore,Dec 7 2021
392,30,little to no direction,Flexible on for part time study,Too rigid one salary takes 2 man jobs,Assistant Engineer,Current Employee,Jurong East New Town,Dec 2 2021
393,10,Good For Starter,high salary cozy environment some decent people,coworkers with attitude issue little to no direction in work,Engineer,Former Employee,nan,Jan 18 2022
394,50,commonlyused methodology for problem solving engineering,Stress and work load is managable,Benefits is same as Govt Guidelines,Planning Executive,Current Employee,nan,Dec 1 2021
395,30,Good environment,simple setup of the cloudbased System A coustomer decides to buy your product or server collection and manegement of your coustomers data,Frims can gain monopoly power and expolit cunsumers Frims monopsony power can play low wages,Web Developer,Current Employee,Hyderābād,Sep 6 2021
396,50,Good for transition to retirement,Well bonded team within the projec members,Weird visionaries of higher management,Manager,Former Employee,nan,Dec 1 2021
397,30,Honest review,Job stability and working mostly with locals,Senior management handling of project headcount,Principal Software Engineer,Current Employee,Ang Mo Kio New Town,Nov 27 2021
398,10,Strong Teamwork,Good place to kickstart your career to gain experience But dont stay too long give it 2 years learn as much then off to a better place,Unhealthy culture Obvious bias and favouritism,Anonymous Employee,Former Employee,Paya Lebar,Dec 8 2021
399,40,Decent job profile with high work pressure,NAME,NAME,Principal Engineer,Current Employee,nan,Oct 28 2021
400,30,Job review,Medical and insurance benefits Company Shares Scheme,Low compensation Bonus rating mechanism Work culture,Senior Engineer,Former Employee,nan,Dec 26 2021
401,30,Its okay,Can learn alot of things,Slow prospect and alot of workload,Repair Engineer,Current Employee,Seletar,Jan 10 2022
402,30,Work Environment,Stability even during pandemic giving strong sense of job security,Culture isnt good most staffs are waiting to retire giving their bare minimum Not a desired place for youngsters Pay relatively low compared to outside,Senior Engineer,Former Employee,Singapore,Nov 17 2021
403,30,Average company,stable environment good flearning environment for fresh graduates,lots of procedures to follow,Engineer,Former Employee,nan,Jan 6 2022
404,30,Pay not competitive,Good work life balance Easy to work,Compensation scheme is not the best,Engineer,Current Employee,Singapore,Jan 7 2022
405,30,Job Delegation,Big and nice office environment,Pay not competitive low annual increment,Executive,Former Employee,nan,Jan 6 2022
406,30,None,Good working environment stable job,Not related job scope tp assigned designation,Logistics Coordinator,Former Employee,Singapore,Jan 6 2022
407,50,Salary,Big Company but not much to learn,Ver Low pay rate as compare with other MNC,Anonymous Employee,Former Employee,nan,Sep 12 2021
408,40,Still okay,Good exposure and job security with good learning opportunity Good colleagues Free parking No working on weekends A lot of courses,Limited progression Limited choice of food Limited parking space No camera phone in some areas Security very very very very tight,Operations Manager,Current Employee,Singapore,Jul 28 2021
409,40,structured,Steep learning curve and challenging projects,Customers can be demanding and salary is,Project Manager,Current Employee,Singapore,Sep 12 2021
410,40,Stable but alot of red tape,work life balance good for families,very regimental and processes very slow,Manager,Current Employee,Singapore,Nov 21 2021
411,40,Staff,Projects that come through have a lot of variety Mostly monotonous work but the team is rather effecient Very stable job everyones been here 510 years but not much advancement opportunities,Everything you do has a lot of red tape Alot of managers making contrasting decisions which can get confusing sometimes,Anonymous Employee,Former Employee,nan,Aug 24 2021
412,20,Overall,Working hr is flexible sometimes if you station onsite working pace is slow,No AWS of executivelevel and progression is slow,Engineer,Current Employee,Singapore,Nov 4 2021
413,50,Helicopter,Overall its good good team good management,So far so good there nothing to be complain,Senior Systems Engineer,Current Employee,Ang Mo Kio New Town,Nov 11 2021
414,30,Company culture,Colleagues are friendly and easy to talk to,Messy management with no clear direction,Anonymous Employee,Current Employee,nan,Nov 18 2021
415,40,Excellent,Generally collaborative and at times of crisis teamwork are evident,Huge company a lot of policies in place at times create red tapes to move forward with process changes,Senior Production Engineer,Current Employee,Singapore,Oct 18 2021
416,50,Toxic and bad environment,Good to communicate here and well and organise,I dont feel that I need to put anything like that,Design Engineer,Current Employee,Indore,Nov 5 2021
417,20,Very selective Job Progression,The flexible timing for work,Toxic environment No buddy system No guidance No proper handover documents,Senior Engineer,Current Employee,nan,Nov 10 2021
418,30,Excellent,Get Good bonus at times,A lot of micro management Manpower issues,Aircraft Maintenance Technician,Current Employee,Singapore,Nov 14 2021
419,30,Best,Good place to work and enjoy with many good colleagues,Need higher pay and salaries Hire more people to help out the work load,Engineer,Former Employee,Woodlands New Town,Oct 28 2021
420,50,software development,Organised workflow and systemic process,Recommendations to level up performances,Licensed Aircraft Engineer,Current Employee,Singapore,Sep 9 2021
421,40,Full engineering company,Adventurous to explore new solutions,a bit stressful but can manage,Software Senior Engineer,Current Employee,nan,Sep 7 2021
422,20,Slow start,The company build things from start to finish A lots of experience colleague willing to teach As a junior engineer making mistake there is always someone to guide and rectify,Lots of politics in upper management Upper management play favoritism Promotion base on relationship instead of performance,Engineer,Current Employee,Jurong West New Town,Oct 20 2021
423,40,Good,Chill environment Just started working so cant say much Superiors are friendly,Need to wait for clearance nothing much to do in the meantime,Software and Systems Engineer,Current Employee,nan,Aug 16 2021
424,50,Lousy Management,People is good Environment as well,Too far from city ba,Procurement Manager,Current Employee,Ang Mo Kio New Town,Sep 6 2021
425,20,Average Company need to work on work culture,Work life balance working for maintenance project,Pathetic increment no career progression bad management especially the senior managers who only blames subordinates no accountability and bad attitude,Software Engineer,Former Employee,nan,Oct 2 2021
426,30,Average salary,Market Rate Salary Very laid back environment People are open to talk,No mentorship Management needs to be work on Cannot advance in career,Engineer,Former Employee,Ang Mo Kio New Town,Aug 5 2021
427,30,Modern and uptodate technology stack,stable job can work until retired,salary is not high and work very hard,Senior Software Engineer,Current Employee,Singapore,Dec 19 2021
428,40,Review,Wonderful colleagues Challenging and Rewarding,Need to be lucky to be in a good project,Senior Engineer,Current Employee,Singapore,Jul 7 2021
429,30,Good,The food at the canteen was cheap and good,Far away Job description vague Covid time temperature taking was a bit annoying,Executive,Former Employee,nan,Dec 9 2021
430,30,Rigid Structure Redundant Processes,Innovative well established and acknowledged in space industry,Vastly dispersed around the world,Senior Research Engineer I,Current Employee,SintNiklaas,Dec 10 2021
431,20,Career,Very focused on workplace safetyhealth Fixed working hours eg Bosses embrace the 8530pm hours faithfully Perfect for average caliber person looking for job stability,Poor remunerationsalary package Career progression by enlarged is based on length of service rather than contributionmerit As a result plenty of deadwood employees Company culture does not encourage individuals to seek higher performance,Executive,Current Employee,nan,Sep 19 2021
432,20,Ok,Learn a lot during working Overtime will be controlled at times Shift allowance and other harzdous claims are normal Might be going to other other places if in need of manpower,Slow career progression Annual increment is ridiculous Benefits are poor They want you to work 6days a week or 13 days straight with overtime if possible Too fast paced at times and rushing of work Basic salary of technician is too low,Technician,Current Employee,Changi Village,Aug 5 2021
433,50,No Teamwork,There is generally Work life balance,The promotion and increment structure can be improved,Manager Internal Audit and Risk,Current Employee,Singapore,Aug 13 2021
434,30,little to no direction,Flexible on for part time study,Too rigid one salary takes 2 man jobs,Assistant Engineer,Current Employee,Jurong East New Town,Dec 2 2021
435,10,commonlyused methodology for problem solving engineering,high salary cozy environment some decent people,coworkers with attitude issue little to no direction in work,Engineer,Former Employee,nan,Jan 18 2022
436,30,Good for transition to retirement,simple setup of the cloudbased System A coustomer decides to buy your product or server collection and manegement of your coustomers data,Frims can gain monopoly power and expolit cunsumers Frims monopsony power can play low wages,Web Developer,Current Employee,Hyderābād,Sep 6 2021
437,30,Honest review,Job stability and working mostly with locals,Senior management handling of project headcount,Principal Software Engineer,Current Employee,Ang Mo Kio New Town,Nov 27 2021
438,10,Salary is getting more competitive but working hours are longer,Good place to kickstart your career to gain experience But dont stay too long give it 2 years learn as much then off to a better place,Unhealthy culture Obvious bias and favouritism,Anonymous Employee,Former Employee,Paya Lebar,Dec 8 2021
439,40,Okay place to work,Pay has been increased to meet industry standards,No work life balance in recent years,Senior Engineer,Current Employee,nan,Jul 18 2021
440,30,Ok,Friendly colleagues Somewhat work life balance,Lack of opportunities for growth,Software Engineer,Current Employee,nan,Oct 24 2021
441,30,Good company,Learn things fast for experience Alot of chance for learning at own pace,Not much career progression Subjected to opportunity,Senior Software Engineer,Current Employee,Singapore,Oct 10 2021
442,40,Good,Stable company with good baseloads from the Singapore Government which is great during bad times like Covid Some of its businesses are in niche areas reaping good margins,Too much redtape with too many systems and processes to follow Bogged down by processes with low propensity for risk taking,Corporate,Former Employee,nan,Aug 10 2021
443,50,Good,It’s a good company yay,Not giving enough salary for me,Software Engineer,Former Employee,Singapore,Oct 10 2021
444,50,Software,Very Good and fun workplace,Maybe Nth to say actually,Marketing,Current Employee,Singapore,Oct 21 2021
445,40,,Good nice and good job,Nothing no problem 5days work,Embedded Software Engineer,Former Employee,Chennai,Oct 22 2021
446,30,Safe ground but slow progress,Above average salary package provided,Lots of standard of operating procedure,Engineer,Current Employee,Singapore,Oct 18 2021
447,40,Decent workplace,Reasonable benefits eg medical and shares,Restrictive and safe not bold enough to invest and venture,Anonymous Employee,Current Employee,nan,Sep 30 2021
448,30,Future expect,NAME,NAME,Engineer,Former Employee,nan,Aug 3 2021
449,30,Review,Learn the skill on different specific area,Company has no progressions or promotion given,Aerospace Engineer,Current Employee,Singapore,Oct 10 2021
450,20,Staff,Stable employees benefit consider good Some colleagues are nice,Very disorganized Workflow is very inefficient No support Managers dont know what you are doing No career progression,Anonymous Employee,Former Employee,nan,Oct 27 2021
451,20,Helicopter,Working hr is flexible sometimes if you station onsite working pace is slow,No AWS of executivelevel and progression is slow,Engineer,Current Employee,Singapore,Nov 4 2021
452,30,,Colleagues are friendly and easy to talk to,Messy management with no clear direction,Anonymous Employee,Current Employee,nan,Nov 18 2021
453,40,Toxic and bad environment,Love this company very much,Dont like the need for words,Senior Software Engineer,Current Employee,Singapore,Aug 1 2021
454,20,Okay place,The flexible timing for work,Toxic environment No buddy system No guidance No proper handover documents,Senior Engineer,Current Employee,nan,Nov 10 2021
455,40,Very selective Job Progression,Food starting pay is ok,Location might be too far for some,Engineer,Current Employee,nan,Jul 27 2021
456,30,Always a place for growth,Get Good bonus at times,A lot of micro management Manpower issues,Aircraft Maintenance Technician,Current Employee,Singapore,Nov 14 2021
457,40,Excellent,Challenges for one to grow technical skill,Performance review and ranking affects staff morale,Senior Software Engineer,Current Employee,Singapore,Jul 15 2021
458,30,Good Stable Company,Good place to work and enjoy with many good colleagues,Need higher pay and salaries Hire more people to help out the work load,Engineer,Former Employee,Woodlands New Town,Oct 28 2021
459,50,Great,Strong foundation and good backing,Not much international market exposure,Anonymous Employee,Current Employee,nan,Jul 23 2021
460,30,Good company,Learning opportunity and Supportive bosses,Customers demanding and lack of resources,Engineer,Current Employee,Singapore,Sep 27 2021
461,40,Poor welfare,Good working environment and good culture,Long working hour and many deadlines,Senior Engineer,Current Employee,Singapore,May 25 2021
462,10,Iron Rice Bowl,Work life balance chill environment,Horrible employee welfare poor managementleadership skills Basically not a place for progression,Senior Assistant Executive,Current Employee,nan,Oct 24 2021
463,30,Slow pace of life,Stable structured regular way out west depends on your office,Not abreast of the latest tech,Manager,Former Employee,Tuas,Sep 3 2021
464,30,System Engineer,Good for fresh graduate or those who wishes to retire Startup pay is good Stable job and income,Slow pace Resistant to changes Obselated skills and knowledge Complacency Poor Benefits Irrelevancy for product Management who have 0 knowledge,Engineer,Current Employee,Jurong West New Town,Aug 12 2021
465,30,A nice environment to learn and grow,We are called ST Engineering learning school Exponential learning cause you will work alot,Benefits cant be compared to that of competitors Rigid mid management thinking Firefighting everyday,Systems Engineer,Current Employee,Singapore,Jul 21 2021
466,50,No promotion based on merits,There are lots of room and opportunity to learn new skillsets,You will need to get to know a lot of people fast in order as there are various teams in the Shared Services,Training Executive,Current Employee,Western Islands,Mar 21 2021
467,20,Salary,Work life balance when project low key,No progression based on merits Progression based on scholarship and boot licking,Manager,Former Employee,nan,Aug 18 2021
468,20,Lots of learnings but high level of stress,Good remuneration package and bonuses,Long working hours messy project management,Principal Engineer,Former Employee,Singapore,Sep 21 2021
469,30,nan,Very knowledgeable people in the business Opportunities to travel The company gives opportunity to recently graduated students its a great place to start your career,High loads of work Sometimes work during weekends is required Organization is not the best,Application Engineer,Former Employee,SintNiklaas,Jul 19 2021
470,30,Operation and Support,Stable income but below average or near average and friendly enviroment,Not much further progression in career,Senior Associate Engineer,Current Employee,Singapore,Aug 26 2021
471,30,Review,Worklife balance and working pace,Management level keeps changing Collaboration with other teams is poor,Systems Engineer,Former Employee,Ang Mo Kio New Town,Sep 6 2021
472,20,stable working environment with good team support,Structure have a good structure,Managerial level all parachuted in,Anonymous Employee,Former Employee,nan,Sep 21 2021
473,40,Good work life balance,stable working environment with good team support many opportunities to improve yourself if you are willing to learn,work life balance could be better,Principal Engineer,Current Employee,nan,Apr 6 2021
474,30,Great learning journey,There is work life balance however many red tapes and security guidelines to follow,Pay are below market rate,Senior Engineer,Current Employee,Singapore,Aug 18 2021
475,50,Military stuff from a civilian,Allrounder software engineer role make sure that you have the right skill set before coming in,Hard to think of one,Software Engineer,Current Employee,nan,Mar 15 2021
476,30,work life balace,We have extensive opportunities to build offensive and defensive machines for the battle field,We almost forgotten were not a state owned company,Principal Engineer,Current Employee,Singapore,Aug 10 2021
477,30,Great Working Environment,work life balance nice staff free fruits to eat every month free ntuc voucher once in a blue moon,slow progression yearly increment is pathetic benefits only 100 dental care,Engineer,Current Employee,nan,Aug 9 2021
478,50,2 years of working exp,Great Colleagues and Working Environment,Heavy Workload but many opportunities to learn,Supply Chain,Current Employee,nan,Apr 28 2021
479,40,Good,worklife balance go home on time,Management has no clear sense of direction,Senior Engineer,Current Employee,Singapore,Apr 21 2021
480,40,Stable but political,It has good work life balance,No comments from me on this,Procurement,Current Employee,Singapore,Jul 19 2021
481,30,Getting from bad to worse,Stable job Opportunity to move around since it is a big organisation,Political Lots of red tape Inflexible,Marketing Manager,Former Employee,Singapore,Jul 4 2021
482,20,Good work life balance,If you are lucky you get a good team to work with or a good boss that will try to push you upwards but it doesnt happen because policies are in place so no amount of hard work will reward you with anything substantial,Super slow progression your immediate superior does not have power to push you and the HR policies will deflect any reasonable and valid request for progression even if its justified No staff retention action keep removing staff welfare over the years no stocksshares combine 13th month into base pay spread across 12 months performance bonus need to work until die no day no night then maybe get a bit reorg and reorg no transparency no vision or security about whats coming next no explanation on anything done especially about reorgs Terrible company terrible management highest exitrate I have ever seen was a team full of people leaving at the same time leaving the project team empty and no replacements were allocated A lot of people here are just chilling and getting by no skillset no knowledge but somehow work for many years and enjoying oldstaff benefits while the skilled ones are all drowning in work with no help in sight Processes in place hints that management has no idea what their problem is and prioritizes PR stuff instead of their employees,Software Engineer,Current Employee,Ang Mo Kio New Town,Dec 30 2020
483,30,Salary,Work life balance no micro manage,Challenging for internal promotion Need contacts,Account Manager,Current Employee,Singapore,Jul 11 2021
484,30,Nil,Good colleagues Flexible Good canteen Easy to access for work Good for stepping stone,Pay too low No career progression,Quality Inspector,Current Employee,Singapore,Jun 28 2021
485,50,Stable and Gov,Good people to work with,Very low pay and pay rise,Software Engineer,Current Employee,Boon Lay,Jul 14 2021
486,30,Good,Stable not much pressure fair benefit,not much space for growth and old style,Senior Engineer,Former Employee,Singapore,Jul 8 2021
487,40,Nice,Not many pros to discuss,Can say Less benefits over all,Project Engineer,Current Employee,Singapore,Jul 15 2021
488,40,A comfy place,Environment nice people stable position well paid,Low growing oportunities difficult schedules,Engineer,Current Employee,nan,Jul 12 2021
489,30,Messy organisation,Stable job Great place to learn different technology from frontend to backend,Most projects are not very well planned Lots of redoing what was previously planned and done,Software Engineer,Current Employee,Singapore,Jun 9 2021
490,10,Work Life Balance,Good and supportive manager director,Work culture and stuck up colleagues,Project Manager,Former Employee,Singapore,Oct 14 2021
491,30,Stable Environment,Good Work Life Balance Theres opportunity to be able to manage own task and timeline,Support from Management is slow due to lots of process in the company Be expect to provide alternative workaround before the support is given,Engineer,Current Employee,Singapore,Jun 23 2021
492,40,Principal Engineer,Stable Environment with good people,Low increment around 3 per year,Senior Executive,Current Employee,nan,Apr 6 2021
493,40,Poor salary too much workload,Good local culture many Singaporean,Salary growth is slow some scope is too niche to find jobs in other industries,Principal Engineer,Current Employee,Singapore,Mar 22 2021
494,10,Great Place but Slow moving culture,No pros at all for this company,Company do not bother revising salaries of current employees and say it is comparable to the current market Employees with experiences are not considered for salary adjustments especially for those diploma holders Workload in Shared Services is too much and yet the management does not do anything to lessen the employees workload Some managers did not even take the time to talk to employees regarding their appraisals and graded them poorly,ExecutiveHR,Current Employee,Ang Mo Kio New Town,May 19 2021
495,50,Good working environment,The people The scope of work Lot of learning and independence on approaching projects,Fragmentation of depts causes lot of unnecessary conflicts Too much emphasis on time charge causing rushing of work leading to less than great results,Engineer,Current Employee,Jurong West New Town,Feb 2 2021
496,30,Money,Good place to learn and grow,Low pay and no work pushed down from management Uneven work distribution,Systems Engineer,Former Employee,Singapore,Jul 25 2021
497,20,Outsourced employee,Build ur money best life,Money always do best knowledge,Anonymous Employee,Current Employee,Chennai,Aug 15 2021
498,40,Worklife Balance,work life balance good place for fresh grads to learn,slow progress little increment,Software Engineer,Current Employee,Singapore,Mar 26 2021
499,30,Let u know the truth,Good good life balance and growing company,Micromanagement and do not trust subordinates Not clear job scope,Program Manager,Current Employee,Singapore,Jun 25 2021
500,20,Work and Salary,Friendly colleague Good office Normal working hours,Low pay Low bonus Overworked and no ot Transport fix claim,Executive Assistant,Former Employee,Singapore,Jun 25 2021
501,30,Great Work life Balance Slow career Progression,Good teammates to work with and many learning opportunities,Minimal Wage Increments and Promotions with Heavy Workloads,Engineer,Current Employee,Singapore,Jun 25 2021
502,30,Work hard,Stable and Secure Job with less hassle Can look to settle down with less stress,Growth is Slow and limited,Senior Data Analyst,Current Employee,Singapore,Jun 9 2021
503,30,Working environment,Railway system AFC PSD Communication systems,Benefit not good and many time work over scope Work for other department scope,Systems Engineer,Current Employee,Bangkok,Jun 15 2021
504,30,Very Good,Flexible working time and did not practice micro management,Working scope is not within the contract,Systems Engineer,Current Employee,Singapore,Jun 26 2021
505,50,Work Life Balance,everything is good salary ontime,most of the project is based on government,Anonymous Employee,Current Employee,nan,Jun 27 2021
506,40,Good experience for fresh grads,Superb Work Life Balance Friendly working environment,Slow Progression average pay require some catching up for a tech company,Senior Software Engineer,Current Employee,Singapore,Jun 1 2021
507,30,Bad management towards engineers,Work and pace is manageable,Longer working hours than normal,Engineer,Former Employee,nan,Jun 29 2021
508,20,Good,Medical benefits for all staffs,Worst management always pushing management level tasks to engineers and bad pay You will have to stay in ST for 1520 years to grow,Engineer,Current Employee,Singapore,Apr 8 2021
509,40,Not too bad,Stable career for retirement and ok bonus,Messy workflow and poor planning,Senior Systems Engineer,Current Employee,Ang Mo Kio New Town,Jun 22 2021
510,30,Lead system engineer,Plenty of work so plenty to learn,Weak technical leadership many layers of management adding little value,Data Scientist,Former Employee,Singapore,Jun 14 2021
511,30,Stable pay,Great colleagues to work with,Management need to know how to retain employees,Anonymous Employee,Former Employee,nan,Jun 22 2021
512,30,military aircraft,Stable pay is the only attraction,Bureaucracy red tapes management is filled with rank and file that secures their own job,Assistant Engineer,Current Employee,Singapore,May 20 2021
513,30,Na,stable challenging worklife balance Overtime pay,pay management negative environment career progression,Service Engineer,Current Employee,Paya Lebar,Jun 24 2021
514,30,Politics,Work life balance for employee,Management policies need to be improved,Engineer,Current Employee,Boon Lay,Jun 25 2021
515,10,Project Manager,Easy Life Go home on Time,No Benefits Bonus all fixed,Engineer,Current Employee,Singapore,Aug 26 2021
516,40,Review,Opportunities for progression is plentiful,Heavy loading due to multiple projects,Project Manager,Current Employee,Singapore,Jun 2 2021
517,30,Stable Job,Very slow pace No aws Bonus is good if you performed well,Very slow pace slow increment and advancement,Software Engineer,Current Employee,Ang Mo Kio New Town,Jun 9 2021
518,30,Working environment,Safe and stable job decent work life balance,Lack of progression management can be old school at times,Engineer,Current Employee,Singapore,Jun 8 2021
519,30,Great engineering group,fair work and life balance,The working is Quite boring,Software Engineer,Former Employee,nan,Jun 24 2021
520,40,Good starting place for fresh graduates,Strong in engineering and financial,To much organisational changes lately,Vice Persident,Former Employee,Singapore,Mar 18 2021
521,30,Nice picture painted,Good work life balance great coworkers,Due to high turnover rates work handed over to new employee had to relearn everything results in very slow progression and inefficiency in the team,Software Engineer,Current Employee,Ang Mo Kio New Town,Jun 3 2021
522,10,Stable but political,Shares scheme available for staff that join before year 2019,Management never truthfully hear the staff out feedbacks are not taken into consideration and management do not take account of mistake made,Operation Executive,Current Employee,Singapore,Jun 11 2021
